Level	Word	Pinyin1	Pinyin2	Translation
2	打篮球	dǎ lán qiú	da3 lan2 qiu2	play basketball
2	找	zhǎo	zhao3	to find; to look for
2	报纸	bào zhǐ	bao4 zhi3	newspaper
2	教室	jiào shì	jiao4 shi4	classroom
2	新	xīn	xin1	new
2	旁边	páng biān	pang2 bian1	next to
2	旅游	lǚ yóu	lv3 you2	tourism
2	早上	zǎo shang	zao3 shang5	early morning
2	时间	shí jiān	shi2 jian1	time
2	晚上	wǎn shang	wan3 shang5	evening
2	晴	qíng	qing2	fine; sunny
2	服务员	fú wù yuán	fu2 wu4 yuan2	waiter/waitress; attendant
2	机场	jī chǎng	ji1 chang3	airport
2	次	cì	ci4	time
2	欢迎	huān yíng	huan1 ying2	to welcome
2	正在	zhèng zài	zheng4 zai4	to be in the process of
2	每	měi	mei3	every; each
2	比	bǐ	bi3	to compare
2	水果	shuǐ guǒ	shui3 guo3	fruit
2	洗	xǐ	xi3	to wash
2	游泳	yóu yǒng	you2 yong3	swimming
2	牛奶	niú nǎi	niu2 nai3	milk
2	玩	wán	wan2	to play
2	生日	shēng rì	sheng1 ri4	birthday
2	生病	shēng bìng	sheng1 bing4	ill; sick; unwell
2	男人	nán rén	nan2 ren2	man
2	白	bái	bai2	white
2	百	bǎi	bai3	hundred
2	真	zhēn	zhen1	real; so (+adjective)
2	眼睛	yǎn jing	yan3 jing5	eye
2	着	zhe	zhe5	-ing
2	票	piào	piao4	ticket
2	离	lí	li2	to be distant from; to leave
2	穿	chuān	chuan1	to wear; to put on
2	笑	xiào	xiao4	to laugh; smile
2	第一	dì yī	di4 yi1	firstly
2	等	děng	deng3	to wait for
2	红	hóng	hong2	red
2	给	gěi	gei3	to give
2	羊肉	yáng ròu	yang2 rou4	mutton
2	考试	kǎo shì	kao3 shi4	examination
2	自行车	zì xíng chē	zi4 xing2 che1	bicycle
2	船	chuán	chuan2	boat; ship; ferry
2	药	yào	yao4	medicine
2	西瓜	xī guā	xi1 gua1	watermelon
2	要	yào	yao4	want; be going to; ask for; demand
2	觉得	jué de	jue2 de5	to think; feel
2	让	ràng	rang4	to let; allow
2	课	kè	ke4	lesson
2	贵	guì	gui4	expensive
2	走	zǒu	zou3	go; walk
2	起床	qǐ chuáng	qi3 chuang2	get up (out of bed)
2	跑步	pǎo bù	pao3 bu4	running; jogging
2	路	lù	lu4	road; route; bus number
2	跳舞	tiào wǔ	tiao4 wu3	to dance
2	踢足球	tī zú qiú	ti1 zu2 qiu2	play football
2	身体	shēn tǐ	shen1 ti3	body; health
2	过	guò	guo4	to cross (road; bridge; river etc.)
2	运动	yùn dòng	yun4 dong4	sport
2	还	hái	hai2	still; to return
2	进	jìn	jin4	to enter
2	远	yuǎn	yuan3	far
2	送	sòng	song4	to give (present); deliver; see someone off
2	错	cuò	cuo4	wrong
2	长	cháng	chang2	long; to grow up; chief
2	门	mén	men2	door
2	问	wèn	wen4	to ask
2	问题	wèn tí	wen4 ti2	problem
2	阴	yīn	yin1	cloudy
2	雪	xuě	xue3	snow
2	非常	fēi cháng	fei1 chang2	extremely
2	题	tí	ti2	question
2	颜色	yán sè	yan2 se4	colour
2	马上	mǎ shàng	ma3 shang4	immediately
2	高	gāo	gao1	high; tall
2	鱼	yú	yu2	fish
2	鸡蛋	jī dàn	ji1 dan4	(chicken) egg
2	黑	hēi	hei1	black
3	一会儿	yī huì er	yi1 hui4 er5	a short while
3	一共	yī gòng	yi1 gong4	altogether
3	一定	yī dìng	yi1 ding4	definitely
3	一样	yī yàng	yi1 yang4	same; identical
3	一直	yī zhí	yi1 zhi2	straight on; always
3	一般	yī bān	yi1 ban1	ordinary
3	一边	yī biān	yi1 bian1	on the one hand …
3	万	wàn	wan4	ten thousand
3	上网	shàng wǎng	shang4 wang3	get on the internet
3	世界	shì jiè	shi4 jie4	world
3	东	dōng	dong1	east
3	中间	zhōng jiān	zhong1 jian1	middle
3	为	wèi	wei4	for (someone; something); to do; to be
3	为了	wèi le	wei4 le5	in order to
3	主要	zhǔ yào	zhu3 yao4	mainly
3	举行	jǔ xíng	ju3 xing2	hold (an event)
3	久	jiǔ	jiu3	long time
3	习惯	xí guàn	xi2 guan4	be used to
3	了解	liǎo jiě	liao3 jie3	understand
3	云	yún	yun2	cloud
3	以为	yǐ wéi	yi3 wei2	think; feel; reckon
3	以前	yǐ qián	yi3 qian2	before
3	以后	yǐ hòu	yi3 hou4	after
3	会议	huì yì	hui4 yi4	meeting
3	伞	sǎn	san3	umbrella
3	位	wèi	wei4	position
3	低	dī	di1	low
3	体育	tǐ yù	ti3 yu4	physical education
3	作业	zuò yè	zuo4 ye4	homework
3	作用	zuò yòng	zuo4 yong4	effect
3	使	shǐ	shi3	to send (someone); cause
3	信	xìn	xin4	letter; message
3	借	jiè	jie4	to lend
3	健康	jiàn kāng	jian4 kang1	healthy; health
3	先	xiān	xian1	first
3	公园	gōng yuán	gong1 yuan2	park
3	关	guān	guan1	to close
3	关于	guān yú	guan1 yu2	about
3	关心	guān xīn	guan1 xin1	care about
3	关系	guān xì	guan1 xi4	relationship
3	兴趣	xìng qu	xing4 qu5	interests; hobbies
3	其他	qí tā	qi2 ta1	other
3	其实	qí shí	qi2 shi2	in fact
3	最近	zuì jìn	zui4 jin4	recently
3	冬	dōng	dong1	winter
3	冰箱	bīng xiāng	bing1 xiang1	fridge
3	决定	jué dìng	jue2 ding4	decide
3	几	jǐ	ji3	how much/many? [expecting a small number]
3	几乎	jī hū	ji1 hu1	almost
3	出现	chū xiàn	chu1 xian4	emerge
3	分	fēn	fen1	minute
3	刚才	gāng cái	gang1 cai2	just now
3	刮风	guā fēng	gua1 feng1	windy
3	刷牙	shuā yá	shua1 ya2	brush teeth
3	刻	kè	ke4	quarter (of an hour); to carve
3	办公室	bàn gōng shì	ban4 gong1 shi4	office
3	办法	bàn fǎ	ban4 fa3	way; method; solution
3	动物	dòng wù	dong4 wu4	animals
3	努力	nǔ lì	nu3 li4	hardworking
3	包	bāo	bao1	a packet of; package
3	北方	běi fāng	bei3 fang1	the north
3	半	bàn	ban4	half
3	南	nán	nan2	south
3	历史	lì shǐ	li4 shi3	history
3	厨房	chú fáng	chu2 fang2	kitchen
3	参加	cān jiā	can1 jia1	to take part
3	又	yòu	you4	again
3	双	shuāng	shuang1	a pair of
3	发烧	fā shāo	fa1 shao1	fever; have a fever
3	发现	fā xiàn	fa1 xian4	discover
3	叔叔	shū shu	shu1 shu5	uncle [father's younger brother]
3	变化	biàn huà	bian4 hua4	change
3	口	kǒu	kou3	mouth; [measure word for family members]
3	句子	jù zi	ju4 zi5	sentence
3	只	zhǐ	zhi3	only; [measure word for animals]
3	可爱	kě ài	ke3 ai4	lovely; loveable
3	司机	sī jī	si1 ji1	driver
3	同事	tóng shì	tong2 shi4	colleague
3	同意	tóng yì	tong2 yi4	to agree
3	向	xiàng	xiang4	towards
3	周末	zhōu mò	zhou1 mo4	weekend
3	哭	kū	ku1	cry
3	啊	a	a5	ah
3	啤酒	pí jiǔ	pi2 jiu3	beer
3	国家	guó jiā	guo2 jia1	country
3	图书馆	tú shū guǎn	tu2 shu1 guan3	library
3	地	dì	di4	ground
3	地图	dì tú	di4 tu2	map
3	地方	dì fang	di4 fang5	place
3	地铁	dì tiě	di4 tie3	underground train; tube; metro
3	坏	huài	huai4	bad
3	城市	chéng shì	cheng2 shi4	city
3	声音	shēng yīn	sheng1 yin1	sound
3	复习	fù xí	fu4 xi2	revise
3	夏	xià	xia4	summer
3	多么	duō me	duo1 me5	how ...
3	太阳	tài yáng	tai4 yang2	sun
3	头发	tóu fa	tou2 fa5	hair
3	奇怪	qí guài	qi2 guai4	strange
3	奶奶	nǎi nai	nai3 nai5	grandmother [father's mother]
3	如果	rú guǒ	ru2 guo3	if
3	字典	zì diǎn	zi4 dian3	dictionary
3	季节	jì jié	ji4 jie2	season
3	安静	ān jìng	an1 jing4	to be quiet
3	完成	wán chéng	wan2 cheng2	complete
3	客人	kè rén	ke4 ren2	guest
3	害怕	hài pà	hai4 pa4	afraid
3	容易	róng yì	rong2 yi4	easy
3	宾馆	bīn guǎn	bin1 guan3	guesthouse
3	小心	xiǎo xīn	xiao3 xin1	take care
3	层	céng	ceng2	storey
3	差	chà	cha4	lack; lacking
3	带	dài	dai4	carry
3	帮忙	bāng máng	bang1 mang2	lend a hand
3	帽子	mào zi	mao4 zi5	hat
3	干净	gān jìng	gan1 jing4	clean
3	年级	nián jí	nian2 ji2	(school) year/grade
3	年轻	nián qīng	nian2 qing1	young
3	应该	yīng gāi	ying1 gai1	should
3	当然	dāng rán	dang1 ran2	of course
3	影响	yǐng xiǎng	ying3 xiang3	influence; to affect
3	必须	bì xū	bi4 xu1	must
3	忘记	wàng jì	wang4 ji4	forget
3	总是	zǒng shì	zong3 shi4	always
3	感冒	gǎn mào	gan3 mao4	to catch a cold
3	愿意	yuàn yì	yuan4 yi4	willing
3	成绩	chéng jì	cheng2 ji4	results; marks; achievement
3	或者	huò zhě	huo4 zhe3	perhaps
3	才	cái	cai2	talent; only if
3	打扫	dǎ sǎo	da3 sao3	to clean
3	打算	dǎ suàn	da3 suan4	plan; intention
3	把	bǎ	ba3	grasp; [measure word for knives]
3	护照	hù zhào	hu4 zhao4	passport
3	担心	dān xīn	dan1 xin1	worry
3	拿	ná	na2	to take
